Α.Φ.Μ.,Στοιχεία Οφειλέτη,Διεύθυνση Έδρας,"Τ.Κ., Περιοχή","Βασική οφειλή Δ.Ο.Υ.,Ελεγκτικά Κέντρα",Βασική οφειλή Τελωνείων,Συνεισπραττόμενα Δημοσίου,Σύνολο Δημοσίου,Βασική οφειλή e-Ε.Φ.Κ.Α.,Συνεισπραττόμενα e-Ε.Φ.Κ.Α.,Σύνολο e-Ε.Φ.Κ.Α.,Παρατηρήσεις
999932332,ΠΟΛΥΜΟΡΦΙΚΟ ΠΑΡΚΟ ΑΝΑΨΥΧΗΣ ΚΩΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΨΑΛΙΔΙ ΚΩ 0,85300 ΚΩΣ,"465.343,59",-,"134.840,85","600.184,44","251.431,20","452.763,27","704.194,47",.
084130726,ΚΟΤΣΑΝΟΣ Ε ΚΟΥΤΣΙΚΟΒΑΓΓΕΛΗΣ Λ ΙΩΑΝΝΙΔΟΥ Α ΟΕ,ΑΝΑΓΕΝΝΗΣΕΩΣ 15,65403 ΚΑΒΑΛΑ,"440.088,01",-,"864.274,57","1.304.362,58",-,-,-,.
800640620,Θ ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΚΑΙ ΣΙΑ ΕΕ  ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ,ΕΛΕΥΘ ΒΕΝΙΖΕΛΟΥ 297,17674 ΚΑΛΛΙΘΕΑ,"428.137,12",-,"158.373,89","586.511,01","482.621,44","235.147,61","717.769,05",.
998087816,AVADOM ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΠΕ,ΜΑΥΡΟΜΙΧΑΛΗ 2,16341 ΗΛΙΟΥΠΟΛΗ,"769.857,78",-,"534.024,84","1.303.882,62",-,-,-,.
800573154,KABA CHRISTY ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΚΑΛΥΨΟΥΣ 22Α,17562 Π ΦΑΛΗΡΟ,"958.600,90",-,"345.162,66","1.303.763,56",-,-,-,.
093436043,ΤΣΙΡΒΟΥΛΗΣ ΠΑΝ ΚΑΙ ΥΙΟΣ ΕΕ,ΙΧΘΥΟΣΚΑΛΑ 0,18755 ΚΕΡΑΤΣΙΝΙ,"431.737,85",-,"871.893,90","1.303.631,75",-,-,-,.
095407424,ΕΡΓΟΜΕΤΑΛ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΕΡΜΟΥ 1-3,16674 ΓΛΥΦΑΔΑ,"434.304,81",-,"869.261,36","1.303.566,17",-,-,-,.
999810304,ΧΡ ΚΑΤΣΙΛΑΣ ΚΑΙ ΥΙΟΣ ΟΕ,ΘΕΣΗ ΜΕΓΑΛΗ ΒΑΘΙΑ ΑΝΑΤΟΛΗΣ 0,45500 ΑΝΑΤΟΛΗ ΙΩΑΝΝΙΝΩΝ,"736.740,09",-,"566.536,81","1.303.276,90",-,-,-,.
095222270,Κ ΚΑΤΑΠΟΔΗΣ ΣΙΑ ΕΠΕ,Λ ΔΗΜΟΚΡΑΤΙΑΣ 164,18756 ΚΕΡΑΤΣΙΝΙ,"212.639,02",-,"634.866,57","847.505,59","156.572,91","298.493,89","455.066,80",.
999085833,ΙΤΑΛΙΚΗ ΔΙΑΤΡΟΦΗ ΜΟΝΟΠΡΟΣΩΠΗ  ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΑΙΟΛΟΥ 34,41221 ΛΑΡΙΣΑ,"288.468,67",-,"109.673,57","398.142,24","562.496,56","341.881,33","904.377,89",.
095747443,ΑΝΤΩΝΙΟΣ ΨΩΜΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΒΟΥΚΟΥΡΕΣΤΙΟΥ 1Β,10564 ΑΘΗΝΑ,-,-,-,-,"455.950,40","846.375,05","1.302.325,45",.
