Α.Φ.Μ.,Στοιχεία Οφειλέτη,Διεύθυνση Έδρας,"Τ.Κ., Περιοχή","Βασική οφειλή Δ.Ο.Υ.,Ελεγκτικά Κέντρα",Βασική οφειλή Τελωνείων,Συνεισπραττόμενα Δημοσίου,Σύνολο Δημοσίου,Βασική οφειλή e-Ε.Φ.Κ.Α.,Συνεισπραττόμενα e-Ε.Φ.Κ.Α.,Σύνολο e-Ε.Φ.Κ.Α.,Παρατηρήσεις
099214758,ΙΩΑΝΝΗΣ ΚΑΡΛΗΣ ΚΑΙ ΣΙΑ ΟΕ,Λ Γ ΠΑΠΑΝΔΡΕΟΥ 530,34100 ΧΑΛΚΙΔΑ,"172.176,45",-,"85.890,69","258.067,14",-,-,-,.
800787537,ΑΔΡΑΣΤΟΣ ΠΕΤΡΟΥΠΟΛΗΣ ΕΚΜΕΤΑΛΛΕΥΣΗ ΓΥΜΝΑΣΤΗΡΙΩΝ Ε Ε,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 7,13121 ΙΛΙΟΝ,"187.036,26",-,"71.024,59","258.060,85",-,-,-,.
092629838,ΥΙΟΙ Κ ΑΛΑΜΑΝΗ ΚΑΙ ΣΙΑ ΟΕ,ΕΡΓ ΠΡΩΤΟΜΑΓΙΑΣ 19,41222 ΛΑΡΙΣΑ,-,-,-,-,"150.730,14","107.241,93","257.972,07",.
997554855,ΚΑΛΑΝΤΖΗΣ ΧΡΗΣΤΟΣ ΠΙΠΙΝΗΣ ΧΡΗΣ,ΑΡΙΣΤΟΜΕΝΟΥΣ 01,24100 ΚΑΛΑΜΑΤΑ,-,-,-,-,"183.402,97","74.528,72","257.931,69",.
099771890,Π ΛΕΟΝΤΑΡΙΔΗΣ ΘΕΡΜΑΝΤΙΚΕΣ ΚΑΙ ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,ΝΕΟΧΩΡΟΥΔΑ 0,54500 ΝΕΟΧΩΡΟΥΔΑ,"157.968,53",-,"99.923,52","257.892,05",-,-,-,.
997870133,ΑΡΓΟΝΑΥΤΗΣ ΒΙΒΛΙΟΠΩΛΕΙΟ ΜΟΝΟΠΡ,ΝΑΞΟΥ 80,11255 ΑΘΗΝΑ,-,-,-,-,"162.747,04","95.097,01","257.844,05",.
801097235,KINITAKIAS ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΖΗΝΩΝΟΣ 7,10431 ΑΘΗΝΑ,"200.340,01",-,"57.466,73","257.806,74",-,-,-,.
998410507,ΚΕΝΤΡΟ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΚΑΤΑΡΤΙΣΗΣ TECHVISION VOCATIONAL AND BUSINESS TRAINING ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ,ΔΕΛΦΩΝ ΚΑΙ ΤΙΘΟΡΕΑΣ 0,32100 ΛΕΙΒΑΔΙΑ,"204.135,48",-,"53.350,65","257.486,13",-,-,-,.
999601924,ΓΚΟΓΚΟΣ ΘΕΟΛΟΓΟΣ ΑΝΔΡΕΟΥ ΑΙΚΑΤ,ΑΚΤΗ ΚΑΡΑΙΣΚΑΚΗ 29,18900 ΣΑΛΑΜΙΝΑ,-,-,-,-,"163.188,21","94.122,27","257.310,48",.
099926356,ΡΥΣΣΑΚΗΣ ΓΕΩΡΓΙΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΨΑΡΟΜΗΛΙΓΚΩΝ 7,71202 ΗΡΑΚΛΕΙΟ,"205.527,87",-,"51.727,36","257.255,23",-,-,-,.
094390102,ΝΑΥΤΙΛΙΑΚΗ ΚΑΠΝΕΜΠΟΡΙΚΗΑΝΩΝΥΜΟ,ΑΦΕΝΤΟΥΛΗ 2,18536 ΠΕΙΡΑΙΑΣ,-,-,-,-,"194.993,40","62.159,05","257.152,45",.
095410729,ΥΠΟΔΟΜΗ ΣΥΜΒΟΥΛΟΙ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΠΑΠΑΦΛΕΣΣΑ 15,12351 ΑΓ ΒΑΡΒΑΡΑ,"202.912,01",-,"54.146,97","257.058,98",-,-,-,.
800534294,ΓΕΝΕΣΙΣ ΕΚΛΕΚΤΑ ΠΡΟΙΟΝΤΑ ΑΝΩΝΥ,ΕΡΜΟΥ 15,14564 ΚΗΦΙΣΙΑ,-,-,-,-,"217.930,27","39.068,02","256.998,29",.
082868880,ΕΚΔΟΣΕΙΣ ΚΑΥΚΑΣ ΕΠΕ,ΑΓ ΓΕΩΡΓΙΟΥ 4,15342 ΑΓ ΠΑΡΑΣΚΕΥΗ,"173.851,31",-,"83.089,08","256.940,39",-,-,-,.
999118149,ΣΩΤΗΡΗ ΜΑΡΙΑ ΚΑΙ ΣΙΑ ΕΕ,ΙΠΠΟΚΡΑΤΟΥΣ 33,10680 ΑΘΗΝΑ,"153.761,85",-,"103.117,43","256.879,28",-,-,-,.
998420015,Γ Δ ΝΙΚΟΛΑΙΔΗΣ ΜΟΝΟΠΡΟΣΩΠΗ  ΙΚ,ΚΙΟΥΣΗ 63,19400 ΚΟΡΩΠΙ,-,-,-,-,"168.230,00","88.617,52","256.847,52",.
800563333,ΣΥΝΤΑΓΗ ΚΑΙ ΣΧΕΔΙΑΣΗ ΜΟΝΟΠΡΟΣΩ,Λ ΚΑΖΑΝΤΖΙΔΗ ΚΑΙ ΚΑΠΑΖΟΥΡΝΑ 0,71601 ΝΕΑ ΑΛΙΚΑΡΝΑΣΣΟΣ,-,-,-,-,"181.770,79","75.074,82","256.845,61",.
800865593,ΖΗΣΗΣ ΣΠΥΡΙΔΩΝ ΜΙΚΕ,ΚΑΠΟΔΙΣΤΡΙΟΥ 7,15127 ΜΕΛΙΣΣΙΑ,"217.609,08",-,"39.102,57","256.711,65",-,-,-,.
800696596,Σ ΑΝΔΡΩΝΗΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚ,Λ ΠΕΝΤΕΛΗΣ 12-14,15234 ΧΑΛΑΝΔΡΙ,-,-,-,-,"172.557,36","84.076,35","256.633,71",.
999871395,ΤΕΘΡΟΝ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΚΤΗΜΑΤΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΣΑΡΙΠΟΛΟΥ 11,10682 ΑΘΗΝΑ,"202.309,47",-,"54.308,10","256.617,57",-,-,-,.
081920024,ΣΙΩΚΗ ΜΑΡΙΑ ΚΟΥΤΣΟΓΙΑΝΝΗΣ Κ ΚΑΙ ΣΙΑ ΕΕ,8 ΧΙΛ  ΚΑΒΑΛΑΣ ΧΑΛΚΕΡΟΥ 0,64006 Ν ΚΑΡΒΑΛΗ,"177.746,15",-,"78.642,52","256.388,67",-,-,-,.
999078725,ΟΜΙΚΡΟΝ  ΚΥΚΛΟΣ REAL ESTATE DEVELOPMENT ΚΤΗΜΑΤΙΚΗ  ΤΟΥΡΙΣΤΙΚΗ ΚΑΙ  ΞΕΝΟΔΟΧΕΙΑΚΗ  ΑΝΩΝΥΜΗ  ΕΤΑΙΡΕΙΑ,ΑΡΙΣΤΕΙΔΟΥ 6,10559 ΑΘΗΝΑ,"214.935,06",-,"41.318,66","256.253,72",-,-,-,.
997366230,ΟΛΓΑ ΘΑΝΟΥ ΚΑΙ ΥΙΟΣ ΕΕ,Λ ΠΟΣΕΙΔΩΝΟΣ 81,16674 ΓΛΥΦΑΔΑ,-,-,-,-,"170.715,23","85.354,62","256.069,85",.
098119641,ARGOSY SHIPMANAGEMENT INC,ΑΚΤΗ ΜΙΑΟΥΛΗ 99,18538 ΠΕΙΡΑΙΑΣ,"208.875,36",-,"47.112,50","255.987,86",-,-,-,.
997851573,ΤΥΠΟΠΟΙΗΣΗ ΕΜΠΟΡΙΑ ΣΤΑΦΙΔΑΣ ΗΛΕΙΑΣ ΟΛΥΜΠΙΑΣ ΑΓΡΟΤΙΚΗ ΕΤΑΙΡΙΚΗ ΣΥΜΠΡΑΞΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,8 ΧΛΜ ΕΟ ΠΥΡΓΟΥ ΠΑΤΡΩΝ 0,27131 ΠΥΡΓΟΣ,"167.607,24",-,"88.378,32","255.985,56",-,-,-,.
099172450,ΙΔΡΥΜΑ ΕΠΑΜΕΙΝΩΝΔΑ Κ ΒΟΣΥΝΙΩΤΗ,28ΗΣ ΟΚΤΩΒΡΙΟΥ  ΝΙΚΗΤΑΡΑ 0,22100 ΤΡΙΠΟΛΗ,-,-,-,-,"198.500,70","57.474,55","255.975,25",.
095741600,ΤΡΕΝΤΣ  ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΕΘΝ ΑΝΤΙΣΤΑΣΗΣ 1,20100 ΚΟΡΙΝΘΟΣ,"161.456,69",-,"94.463,37","255.920,06",-,-,-,.
997132289,ΙΩΑΝΝΗΣ ΜΠΕΣΣΑΣ ΚΑΙ ΥΙΟΣ ΕΤΕΡΟ,Λ ΔΕΚΕΛΕΙΑΣ 105,14341 Ν ΦΙΛΑΔΕΛΦΕΙΑ,-,-,-,-,"190.220,44","65.657,14","255.877,58",.
800384459,ΔΙΑΜΑΝΤΙΔΗΣ ΣΤΥΛΙΑΝΟΣ ΚΑΙ ΣΙΑ Ε Ε,ΗΡΙΔΑΝΟΥ 20,11528 ΑΘΗΝΑ,"159.390,04",-,"96.467,87","255.857,91",-,-,-,.
095764789,ΓΕΩΠΟΝΙΚΟ ΚΕΝΤΡΟ ΜΑΡΑΘΩΝΑ ΕΠΕ,Λ ΓΡΑΜΜΑΤΙΚΟΥ 17,19007 ΜΑΡΑΘΩΝΑΣ,"187.307,88",-,"68.423,48","255.731,36",-,-,-,.
800086585,ΓΑΙΑ ΠΕΛΛΑΣ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕ,ΒΙΤΣΙ 55,54627 ΘΕΣΣΑΛΟΝΙΚΗ,-,-,-,-,"182.299,82","73.250,31","255.550,13",.
095430439,ΔΗΜΗΤΡΙΟΣ ΟΡΦΑΝΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΝΑΥΛΕΡΗ 4-6,18540 ΠΕΙΡΑΙΑΣ,"194.086,80",-,"61.404,61","255.491,41",-,-,-,.
800455045,MONALISA ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ,Λ ΔΗΜΟΚΡΑΤΙΑΣ 43 Κ  ΓΑΒΡΑ 43,57013 ΩΡΑΙΟΚΑΣΤΡΟ,-,-,-,-,"174.133,02","81.339,70","255.472,72",.
081066454,Α ΜΥΛΩΝΑΣ ΣΙΑ ΟΕ,ΜΥΡΩΔΑΤΟ 0,67100 ΞΑΝΘΗ,"187.784,00",-,"67.579,84","255.363,84",-,-,-,.
082323031,ΡΕΛΛΟΣ Ν-ΧΑΤΖΗΜΟΥΡΑΤΗ ΘΟΕ,ΚΟΡΑΗ 32,54249 ΘΕΣΣΑΛΟΝΙΚΗ,"156.871,27",-,"98.435,07","255.306,34",-,-,-,.
097433879,ΣΥΜΠΛΟΙΟΚΤΗΣΙΑ ΜΟΥΖΜΟΥΛΗΣ ΠΡΟΔ,ΠΕΥΚΙ 0,34200 ΙΣΤΙΑΙΑ,-,-,-,-,"156.948,28","98.255,38","255.203,66",.
093453410,ΣΤΑΥΡΟΣ ΓΙΑΝΝΟΥΛΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΠΑΝ  ΗΡΕΙΩΤΗ 17,18010 ΑΙΓΙΝΑ,-,-,-,-,"162.887,64","92.284,49","255.172,13",.
997603356,ΩMEGA TRAINING CENTER ΕΤΑΙΡΕΙΑ,ΚΑΠΝΟΚΟΠΤΗΡΙΟΥ 9,10433 ΑΘΗΝΑ,-,-,-,-,"181.218,29","73.945,74","255.164,03",.
999324062,ΙΩΑΝΝΗΣ ΠΑΠΑΓΙΑΝΝΑΚΗΣ ΚΑΙ ΣΙΑ ΟΙΚΟΔΟΜΙΚΗ ΤΕΧΝΙΚΗ Α Ε,ΑΓΗΣΙΛΑΟΥ 20,17674 ΚΑΛΛΙΘΕΑ,"155.350,80",-,"99.740,47","255.091,27",-,-,-,.
094365977,ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ Ν,ΒΙ ΠΕ  ΠΑΤΡΩΝ 0,25200 Κ ΑΧΑΙΑ,-,-,-,-,"162.072,93","92.997,42","255.070,35",.
093121346,ΣΤΥΛΙΑΝΟΣ ΜΑΘΙΟΥΔΑΚΗΣ ΚΑΙ ΣΙΑ  ΕΕ,ΠΑΥΛΟΥ ΖΩΓΡΑΦΙΣΤΟΥ 15,71305 ΗΡΑΚΛΕΙΟ,"166.712,17",-,"88.275,34","254.987,51",-,-,-,.
999418146,ΖΑΝΤΙΔΗΣ ΧΡΗΣΤΟΣ ΚΑΙ ΥΙΟΣ ΟΕ,ΚΑΤΩ ΠΟΡΟΙΑ 0,62055 Κ ΠΟΡΟΙΑ,"182.575,35",-,"72.391,65","254.967,00",-,-,-,.
095245340,ΕΛΠΑΚ ΕΜΠΟΡΙΑ ΑΝΤΙΠΡΟΣΩΠΕΥΣΗ ΕΙΔΩΝ ΣΥΣΚΕΥΑΣΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΝΙΚΗΤΑ 13,18531 ΠΕΙΡΑΙΑΣ,"195.003,05",-,"59.886,17","254.889,22",-,-,-,.
094505143,ΑΚΑΜΑΣ ΕΡΓΟΛΗΠΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΤΟΥΡΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΝΙΚΗΤΑΡΑ 21,15341 ΑΓ ΠΑΡΑΣΚΕΥΗ,"172.208,74",-,"82.639,19","254.847,93",-,-,-,.
084239511,ΙΩΑΝΝΗΣ ΛΑΓΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΠΟΛΥΚΡΑΤΟΥΣ 7,17341 ΑΓ ΔΗΜΗΤΡΙΟΣ,"170.034,45",-,"84.751,91","254.786,36",-,-,-,.
800518405,ΥΓΡΟΤΡΟΦΙΜ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΚΑΝΕΛΛΟΠΟΥΛΟΥ 47 Α,63200 Ν ΜΟΥΔΑΝΙΑ,"189.129,19",-,"65.639,81","254.769,00",-,-,-,.
800467591,ΓΚΡΑΟΥΝΤ ΥΠΗΡΕΣΙΕΣ ΕΣΤΙΑΣΗΣ ΙΚ,ΜΕΣΟΓΕΙΩΝ 226,15561 ΧΟΛΑΡΓΟΣ,-,-,-,-,"164.507,86","90.147,50","254.655,36",.
800756677,SAN CARLOS ΜΟΝΟΠΡΟΣΩΠΗ Ι Κ Ε,ΦΙΛΟΠΟΙΜΕΝΟΣ 13,26221 ΠΑΤΡΑ,"212.044,73",-,"42.239,31","254.284,04",-,-,-,.
082958282,ΧΑΤΖΟΓΛΟΥ ΝΙΚΟΛΑΟΣ ΣΙΑ ΟΕ,1 ΧΙΛ ΣΕΡΒΙΩΝ ΛΑΡΙΣΗΣ 0,50500 ΣΕΡΒΙΑ,"162.129,61",-,"92.133,28","254.262,89",-,-,-,.
997669726,ΛΙΝΚΟ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,Λ ΑΘΗΝΩΝ ΚΑΙ ΚΑΣΤΟΡΙΑΣ 12,10441 ΑΘΗΝΑ,"205.648,29",-,"48.488,26","254.136,55",-,-,-,.
998069835,ΣΥΣΤΗΜΑΤΑ ΝΕΦΕΛΟΨΕΚΑΣΜΟΥ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΚΗΠΩΝ  ΜΑΓΝΗΣΙΑ 0,57008 ΔΙΑΒΑΤΑ,"155.701,45",-,"98.413,50","254.114,95",-,-,-,.
081707920,ΨΥΧΑΡΗΣ ΕΥΑΓΓΕΛΟΣ ΚΑΙ ΣΙΑ ΟΕΒΕ,ΤΖΙΒΑΣ 3 ΧΙΛ ΤΡΙΠΟΛ ΣΠΑΡΤ 0,22012 ΣΤΑΔΙΟ,-,-,-,-,"166.695,72","87.333,18","254.028,90",.
998073639,Γ ΝΑΖΙΡΗΣ Γ ΡΟΥΖΗΣ ΟΕ,ΓΡ ΛΑΜΠΡΑΚΗ 160,54352 ΘΕΣΣΑΛΟΝΙΚΗ,-,-,-,-,"171.749,98","82.211,60","253.961,58",.
099539541,ΓΡΥΠΑΡΗ ΕΥΑΓΓΕΛΙΑ ΚΑΙ ΒΑΣΙΛΕΙΑ ΕΕ,ΠΑΤΡΩΝ 46,15344 ΓΕΡΑΚΑΣ,"156.979,64",-,"96.981,07","253.960,71",-,-,-,.
095379617,ΣΤΑΜΑΤΗΣ ΒΕΝΕΤΣΙΑΝΟΣ  ΚΑΙ  ΣΙΑ ΕΠΕ,ΔΕΚΕΛΕΙΑΣ 55,14122 ΗΡΑΚΛΕΙΟ,"166.716,47",-,"87.040,45","253.756,92",-,-,-,.
084141600,Δ ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ Γ ΡΟΥΣΣΟΣ ΟΕ,Λ ΜΕΣΟΓΕΙΩΝ 386,15343 ΑΓ ΠΑΡΑΣΚΕΥΗ,"161.750,20",-,"91.857,64","253.607,84",-,-,-,.
999991878,ΝΟΤΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΟΙΚΙΑΣΕΙΣ ΑΥΤΟΚΙΝΗΤΩΝ ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ,Λ ΕΛΕΥΘΕΡΙΑΣ 35,17455 ΑΛΙΜΟΣ,"150.576,01",-,"102.995,15","253.571,16",-,-,-,.
082103083,ΑΦΟΙ ΠΕΤΡΟΥ ΟΕ,10 ΧΛΜ ΘΕΣ ΝΙΚΗΣ ΒΕΡΟΙΑΣ 0,57008 ΔΙΑΒΑΤΑ,"152.349,79",-,"101.205,96","253.555,75",-,-,-,.
998863416,ΓΕΩΡΓΑΝΤΑΣ ΔΗΜΗΤΡΙΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΕΡΩΦΙΛΗΣ 4,71305 ΗΡΑΚΛΕΙΟ,"156.937,15",-,"96.578,94","253.516,09",-,-,-,.
800666961,DSM3 ΜΕΤΑΦΟΡΙΚΗ ΑΠΟΘΗΚΕΥΤΙΚΗ Ε,ΠΕΤΡΟΥ ΡΑΛΛΗ 503,18450 ΝΙΚΑΙΑ,-,-,-,-,"203.018,49","50.486,73","253.505,22",.
998487142,AFALOS ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 5,18531 ΠΕΙΡΑΙΑΣ,"152.922,31",-,"100.544,86","253.467,17",-,-,-,.
997399980,TWIST EAST ΕΤΕΡΟΡΡΥΘΜΗ ΕΤΑΙΡΙΑ,ΒΡΥΟΥΛΩΝ 1,14341 Ν ΦΙΛΑΔΕΛΦΕΙΑ,-,-,-,-,"171.845,31","81.334,35","253.179,66",.
998883163,ΣΑΜΟΥΡΗΣ Δ ΚΑΙ ΣΙΑ ΕΕ,ΑΝΝΗΣ  ΜΑΡΙΑΣ 7,15354 ΓΛΥΚΑ ΝΕΡΑ,-,-,-,-,"208.002,59","44.991,03","252.993,62",.
999982894,ΥΠΗΡΕΣΙΕΣ ΕΓΓΥΗΣΕΩΝ ΕΜΠΟΡΙΑΣ ΚΑΙ ΕΝΟΙΚΙΑΣΕΩΝ ΑΥΤΟΚΙΝΗΤΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΛΕΩΦ ΒΟΥΛΙΑΓΜΕΝΗΣ 108,16674 ΓΛΥΦΑΔΑ,"190.117,47",-,"62.814,16","252.931,63",-,-,-,.
082215310,ΝΕΟΚΛ ΤΣΙΟΥΠΡΟΣ ΚΑΙ ΥΙΟΙ ΟΕ,ΓΑΝΟΧΩΡΑ 0,60100 ΚΑΤΕΡΙΝΗ,-,-,-,-,"167.382,56","85.525,79","252.908,35",.
998544720,ΣΠΕΡΔΟΥΛΗΣ ΑΝΔΡΕΑΣ ΚΑΙ ΣΙΑ ΟΕ,ΑΓ ΑΝΔΡΕΑΣ ΚΟΡΑΚΟΧΩΡΙΟΥ 0,27100 ΠΥΡΓΟΣ,"158.931,27",-,"93.938,87","252.870,14",-,-,-,.
093381586,ΣΤΑΥΡΟΣ ΧΑΤΖΟΓΛΟΥ ΚΑΙ ΣΙΑ ΕΕ,ΒΙΠΕ ΔΡΑΜΑΣ ΑΡΙΘ ΑΤΑΚ 00507476921 0,66100 ΔΡΑΜΑ,"211.460,70",-,"41.378,85","252.839,55",-,-,-,.
997594816,ΚΩΝΣΤΑΝΤΙΝΟΣ V ΝΕΠΑ,ΛΕΩΦ  ΣΥΓΓΡΟΥ 214,17672 ΚΑΛΛΙΘΕΑ,-,"174.861,57","77.865,86","252.727,43",-,-,-,.
998734028,ΑΦΟΙ ΘΕΟΦΥΛΑΚΗ EΕ,ΒΙΠΕ ΞΑΝΘΗΣ 0,67100 ΞΑΝΘΗ,-,-,-,-,"184.502,47","68.147,70","252.650,17",.
800464263,HTT ΥΠΗΡΕΣΙΕΣ ΤΟΥΡΙΣΤΙΚΟΥ ΓΡΑΦ,ΕΡΜΟΥ 95,10555 ΑΘΗΝΑ,-,-,-,-,"174.938,94","77.557,48","252.496,42",.
998156390,ΣΩΦΡΟΝΙΔΗΣ ΑΝΤΩΝΙΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΚΑΛΑΜΠΑΚΙ 0,66031 ΚΑΛΑΜΠΑΚΙ,"159.608,38",-,"92.823,99","252.432,37",-,-,-,.
800732380,FOODBAR PROJECT ΜΟΝΟΠΡΟΣΩΠΗ I,ΦΙΛΕΛΛΗΝΩΝ 9,18535 ΠΕΙΡΑΙΑΣ,-,-,-,-,"197.441,36","54.983,35","252.424,71",.
998075682,ΚΑΝΕΛΙΔΗΣ ΚΑΙ ΣΙΑ  ΕΕ,ΜΑΡΑΣΛΗ 50,54249 ΘΕΣΣΑΛΟΝΙΚΗ,"155.006,41",-,"97.398,95","252.405,36",-,-,-,.
999949850,ΚΩΝΣΤΑΝΤΙΝΟΣ ΛΙΑΠΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΔΥΝΑΣΤΕΙΑΣ ΜΑΚΕΔΟΝΩΝ 20,13341 ΑΝΩ ΛΙΟΣΙΑ,"177.185,27",-,"74.969,99","252.155,26",-,-,-,.
099613468,ΚΟΙΝΟΠΡΑΞΙΑ ΔΗΜΟΤΙΚΗΣ ΕΠΙΧΕΙΡΗΣΗΣ ΑΞΙΟΠΟΙΗΣΗΣ ΦΥΣΙΚΩΝ ΠΟΡΩΝ ΜΕΛΙΚΗΣ ΑΘΑΝΑΣΙΟΣ ΔΕΝΗΣ ΑΝΑΣΤΑΣΙΟΣ ΛΟΥΚΑ,ΚΥΨΕΛΗ 0,59031 ΜΕΛΙΚΗ,"158.012,72",-,"94.058,02","252.070,74",-,-,-,.
997800548,PEOPLE ENTERTAINMENT GROUP ΑΝΩ,ΗΡΑΚΛΕΙΤΟΥ 5,10673 ΑΘΗΝΑ,-,-,-,-,"160.760,79","91.305,72","252.066,51",.
801365418,FOOD PROJECT ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΙΟΛΟΥ 68-70,10559 ΑΘΗΝΑ,"213.649,59",-,"38.356,48","252.006,07",-,-,-,.
094179369,ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΔΟΓΗΣ ΑΕ,ΚΟΝΔΥΛΑΚΗ 14-16,73131 ΧΑΝΙΑ,"196.561,78",-,"55.227,55","251.789,33",-,-,-,.
800497128,ΤΑΒΕΡΝΑ ΚΟΣΜΙΚΗ ΤΑΒΕΡΝΑ ΔΗΜ ΜΟ,ΛΥΣΙΟΙ ΚΑΙ ΜΝΗΣΙΚΛΕΟΥΣ 22,10556 ΑΘΗΝΑ,-,-,-,-,"189.406,58","62.369,73","251.776,31",.
095759792,STARTIME VACATIONS ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 82,10445 ΑΘΗΝΑ,"154.319,64",-,"97.370,44","251.690,08",-,-,-,.
800359426,Α ΚΩΝΣΤΑΝΤΙΝΟΥ ΖΗΣΗ Α Ο Ε,Κ ΠΑΛΑΙΟΛΟΓΟΥ 93,56430 ΣΤΑΥΡΟΥΠΟΛΗ,-,-,-,-,"173.574,92","78.072,29","251.647,21",.
093604830,ΚΩΝΣΤΑΝΤΙΝΟΣ ΓΚΟΥΜΑΣ ΚΑΙ ΣΙΑ   ΙΚΕ ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ,ΔΗΜΟΚΡΑΤΙΑΣ 21,15127 ΜΕΛΙΣΣΙΑ,"191.403,73",-,"60.131,98","251.535,71",-,-,-,.
800517170,ΠΑΠΑΔΟΠΟΥΛΟΣ Λ ΠΟΥΛΟΠΟΥΛΟΣ Δ Ο,ΛΕΩΦΟΡΟΣ ΦΑΝΕΡΩΜΕΝΗΣ 24,18900 ΣΑΛΑΜΙΝΑ,-,-,-,-,"174.980,66","76.430,64","251.411,30",.
997956740,ΕΛΕΥΘΕΡΙΟΣ ΚΕΧΑΓΙΟΓΛΟΥ ΜΟΝΟΠΡΟ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ 42,15232 ΧΑΛΑΝΔΡΙ,-,-,-,-,"170.114,88","81.226,54","251.341,42",.
094062327,ΟΙΚΟΔΟΜΙΚΑΙ ΚΤΗΜΑΤΙΚΑΙ ΚΑΙ ΞΕΝΟΔOXEIAKAI  EΠΙΧΕΙΡΗΣΕΙΣ Δ ΟΙΚΟΝΟΜΟΥ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΜΕΝΑΝΔΡΟΥ 3-5,14561 ΚΗΦΙΣΙΑ,"211.607,24",-,"39.699,33","251.306,57",-,-,-,.
092907019,ΡΑΦΑΗΛ Ι ΒΑΡΙΑΜΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΙΚΤΙΝΟΥ 2,81100 ΜΥΤΙΛΗΝΗ,-,-,-,-,"170.389,47","80.892,91","251.282,38",.
