A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
95627119,ΧΡΥΣΟΒΕΛΙΔΗΣ ΙΟΡΔΑΝΗΣ ΚΑΙ ΣΙΑ ΕΠΕ,ΥΔΡΑΣ 10,18346 ΜΟΣΧΑΤΟ,"261.550,79",-,"101.648,63","363.199,42","423.630,48","586.415,08","1.010.045,56",.,"(37.9615243, 23.6931324)"
81923770,ΚΩΣΤΟΓΛΟΥ ΒΑΣΙΛΕΙΟΣ  ΚΑΙ  ΣΙΑ O.E.,ΚΑΚΟ ΠΡΙΝΑΡΙ 0,85300 ΚΩΣ,"593.970,83",-,"332.358,86","926.329,69","259.981,43","186.877,88","446.859,31",.,"(36.8833107, 27.2909014)"
95275656,ΗΛΕΚΤΡΕΜΠΟΡΙΚΗ ΕΠΕ,ΓΡΥΠΑΡΗ 158,17673 ΚΑΛΛΙΘΕΑ,"454.563,45",-,"918.115,61","1.372.679,06",-,-,-,.,"(37.9536753, 23.7013375)"
99548955,MILLENGUARD SECURITY   ΜΟΝΟΠΡΟ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 468 468,13562 ΑΓ ΑΝΑΡΓΥΡΟΙ,-,-,-,-,"580.067,97","791.963,66","1.372.031,63",.,"(38.042944, 23.7294467)"
998839545,CORNELΜΟΝΟΠΡΟΣΩΠΗ  ΕΠΕ ΕΜΠΟΡΙΑ Κ ΕΠΕΞΕΡΓΑΣΙΑ ΑΓΡΟΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΖΩΟΤΡΟΦΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΙΑ ΠΕΡΙΟ,ΚΑΤΩ ΖΕΡΒΟΧΩΡΙ 0,59034 ΕΙΡΗΝΟΥΠΟΛΗ ΝΟΜΟΥ ΗΜΑΘΙΑΣ,"891.665,38",-,"480.128,27","1.371.793,65",-,-,-,.,"(40.6566681, 22.2160191)"
999400585,GAMBRO LUNDIA AB,ΣΤΟ 11 ΧΛΜ Ε  Ο  ΑΘΗΝΩΝ   ΛΑΜΙΑΣ 0,14451 ΜΕΤΑΜΟΡΦΩΣΗ,"1.103.479,90",-,"268.145,62","1.371.625,52",-,-,-,.,"(38.0556442, 23.7583685)"
997153039,T J INTERFOOD GMBH,ΝΕΑ ΚΑΡΒΑΛΗ 0,64006 Ν ΚΑΡΒΑΛΗ,"921.751,11",-,"449.854,87","1.371.605,98",-,-,-,.,"(40.9604407, 24.5105061)"
999125061,ΠΑΝΙΚΙΔΗΣ ΑΝΑΛΩΣΙΜΑ ΓΡΑΦΕΙΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΒΙΤΣΙ 11,56626 ΣΥΚΙΕΣ,"433.915,18",-,"475.348,35","909.263,53","217.525,64","244.782,90","462.308,54",.,"(40.6519872, 22.9584086)"
91947450,ΙΩΑΝΝΗΣ ΒΕΡΒΕΡΙΔΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΒΑΘΥΛΑΚΚΟΣ 0,57011 ΒΑΘΥΛΑΚΚΟΣ,"595.386,42",-,"775.743,50","1.371.129,92",-,-,-,.,"(40.7687253, 22.7100954)"
95153352,ΣΕΡΚΟ ΕΠΕ,ΕΠΤΑΝΗΣΟΥ 0,32100 ΛΕΙΒΑΔΙΑ,-,-,-,-,"576.857,58","794.108,44","1.370.966,02",.,"(38.4390914, 22.8715375)"
